agent_id,initial_state,is_influential,prob_share,prob_skeptic,prob_educate,prob_convince
0,SUSCEPTIBLE,False,0.0233,0.0684,0.0432,0.0071
1,SUSCEPTIBLE,False,0.0922,0.1874,0.0332,0.0154
2,BELIEVE,False,0.0545,0.0743,0.0299,0.0167
3,SUSCEPTIBLE,False,0.033,0.1496,0.0359,0.017
4,SUSCEPTIBLE,False,0.0594,0.0796,0.0133,0.0097
5,SUSCEPTIBLE,False,0.0591,0.0883,0.043,0.0128
6,SUSCEPTIBLE,False,0.0308,0.1027,0.0371,0.0092
7,SUSCEPTIBLE,False,0.0857,0.1009,0.0195,0.0182
8,SUSCEPTIBLE,False,0.0977,0.1594,0.025,0.0121
9,SUSCEPTIBLE,False,0.0513,0.0717,0.0216,0.0073
10,SUSCEPTIBLE,False,0.0726,0.1742,0.0321,0.0112
11,SUSCEPTIBLE,False,0.0447,0.0674,0.0141,0.0113
12,SUSCEPTIBLE,False,0.0551,0.0512,0.0118,0.0173
13,SUSCEPTIBLE,True,0.0969,0.132,0.033,0.0066
14,SUSCEPTIBLE,False,0.0843,0.1526,0.021,0.0116
15,SUSCEPTIBLE,False,0.0269,0.1859,0.0329,0.0184
16,SUSCEPTIBLE,False,0.069,0.1892,0.0362,0.0084
17,SUSCEPTIBLE,False,0.0227,0.1253,0.0266,0.0133
18,SUSCEPTIBLE,False,0.0393,0.1053,0.0347,0.0149
19,SUSCEPTIBLE,False,0.0342,0.0742,0.0263,0.0063
20,BELIEVE,False,0.0678,0.1556,0.0373,0.0191
21,SUSCEPTIBLE,False,0.0699,0.186,0.0184,0.0066
22,SUSCEPTIBLE,False,0.0772,0.1438,0.0223,0.017
23,SUSCEPTIBLE,False,0.0972,0.1043,0.039,0.0156
24,SUSCEPTIBLE,False,0.0631,0.1377,0.0259,0.0115
25,SUSCEPTIBLE,False,0.0663,0.154,0.0207,0.0141
26,SUSCEPTIBLE,False,0.071,0.0767,0.0372,0.0128
27,SUSCEPTIBLE,False,0.0315,0.1144,0.014,0.0127
28,BELIEVE,False,0.0363,0.1192,0.0406,0.0164
29,SUSCEPTIBLE,False,0.0529,0.0789,0.0422,0.0195
30,SUSCEPTIBLE,False,0.0732,0.0957,0.028,0.0158
31,SUSCEPTIBLE,False,0.0819,0.12,0.0265,0.0075
32,SUSCEPTIBLE,False,0.0207,0.1187,0.0386,0.0196
33,SUSCEPTIBLE,False,0.0457,0.0987,0.0142,0.0104
34,SUSCEPTIBLE,False,0.0545,0.1107,0.0271,0.0108
35,SUSCEPTIBLE,False,0.0917,0.1585,0.0206,0.0109
